commonName,scientificName,image1,image2,deck,source
Lechoso,Tabernaemontana litoralis,images/plants_week_1_p1_1.png,images/plants_week_1_p1_2.png,Plants week 1,Plants week 1.pdf
Octopus Tree,Schefflera actinophylla,images/plants_week_1_p2_1.png,images/plants_week_1_p2_2.png,Plants week 1,Plants week 1.pdf
Cook Pine,Araucaria columnaris,images/plants_week_1_p3_1.png,images/plants_week_1_p3_2.png,Plants week 1,Plants week 1.pdf
African Tulip,Spathodea campanulata,images/plants_week_1_p4_1.png,images/plants_week_1_p4_2.png,Plants week 1,Plants week 1.pdf
Jacaranda,Jacaranda mimosifolia,images/plants_week_1_p5_1.png,images/plants_week_1_p5_2.png,Plants week 1,Plants week 1.pdf
Gold Tree,Roseodendron donnell-smithii,images/plants_week_1_p6_1.png,images/plants_week_1_p6_2.png,Plants week 1,Plants week 1.pdf
Pink Tecoma,Tabebuia heterophylla,images/plants_week_1_p7_1.png,images/plants_week_1_p7_2.png,Plants week 1,Plants week 1.pdf
Common Ironwood,Casuarina equisetifolia,images/plants_week_1_p8_1.png,images/plants_week_1_p8_2.png,Plants week 1,Plants week 1.pdf
Autograph Tree,Clusia rosea,images/plants_week_1_p9_1.png,images/plants_week_1_p9_2.png,Plants week 1,Plants week 1.pdf
Italian Cypress,Cupressus sempervirens,images/plants_week_1_p10_1.png,images/plants_week_1_p10_2.png,Plants week 1,Plants week 1.pdf
Albizia,Falcataria moluccana,images/plants_week_2_p1_1.png,images/plants_week_2_p1_2.png,Plants week 2,Plants week 2.pdf
Monkeypod Tree,Samanea saman,images/plants_week_2_p2_1.png,images/plants_week_2_p2_2.png,Plants week 2,Plants week 2.pdf
Formosan Koa,Acacia confusa,images/plants_week_2_p3_1.png,images/plants_week_2_p3_2.png,Plants week 2,Plants week 2.pdf
Golden Shower Tree,Cassia fistula,images/plants_week_2_p4_1.png,images/plants_week_2_p4_2.png,Plants week 2,Plants week 2.pdf
Pink Shower Tree,Cassia javanica,images/plants_week_2_p5_1.png,images/plants_week_2_p5_2.png,Plants week 2,Plants week 2.pdf
Rainbow Shower Tree,Cassia nealiae,images/plants_week_2_p6_1.png,images/plants_week_2_p6_2.png,Plants week 2,Plants week 2.pdf
Royal Poinciana,Delonix regia,images/plants_week_2_p7_1.png,images/plants_week_2_p7_2.png,Plants week 2,Plants week 2.pdf
Hong Kong Orchid,Bauhinia blakeana,images/plants_week_2_p8_1.png,images/plants_week_2_p8_2.png,Plants week 2,Plants week 2.pdf
Giant Crape Myrtle,Lagerstroemia speciosa,images/plants_week_2_p9_1.png,images/plants_week_2_p9_2.png,Plants week 2,Plants week 2.pdf
Chinese Banyan,Ficus microcarpa,images/plants_week_2_p10_1.png,images/plants_week_2_p10_2.png,Plants week 2,Plants week 2.pdf
Weeping Fig,Ficus benjamina,images/plants_week_3_p1_1.png,images/plants_week_3_p1_2.png,Plants week 3,Plants week 3.pdf
Indian Rubber Tree,Ficus elastica,images/plants_week_3_p2_1.png,images/plants_week_3_p2_2.png,Plants week 3,Plants week 3.pdf
Bottlebrush,Callistemon citrinus,images/plants_week_3_p3_1.png,images/plants_week_3_p3_2.png,Plants week 3,Plants week 3.pdf
Rainbow Eucalyptus,Eucalyptus deglupta,images/plants_week_3_p4_1.png,images/plants_week_3_p4_2.png,Plants week 3,Plants week 3.pdf
Paperbark Tree,Melaleuca quinquenervia,images/plants_week_3_p5_1.png,images/plants_week_3_p5_2.png,Plants week 3,Plants week 3.pdf
Fern Tree,Filicium decipiens,images/plants_week_3_p6_1.png,images/plants_week_3_p6_2.png,Plants week 3,Plants week 3.pdf
Flamegold,Koelreuteria elegans,images/plants_week_3_p7_1.png,images/plants_week_3_p7_2.png,Plants week 3,Plants week 3.pdf
Podocarpus,Podocarpus macrophyllus,images/plants_week_3_p8_1.png,images/plants_week_3_p8_2.png,Plants week 3,Plants week 3.pdf
Alexander Palm,Archontophoenix alexandrae,images/plants_week_3_p9_1.png,images/plants_week_3_p9_2.png,Plants week 3,Plants week 3.pdf
Coconut Palm (Niu),Cocos nucifera,images/plants_week_3_p10_1.png,images/plants_week_3_p10_2.png,Plants week 3,Plants week 3.pdf
Sealing Wax Palm,Cyrtostachys renda,images/plants_week_4_p1_1.png,images/plants_week_4_p1_2.png,Plants week 4,Plants week 4.pdf
Triangle Palm,Dypsis decaryi,images/plants_week_4_p2_1.png,images/plants_week_4_p2_2.png,Plants week 4,Plants week 4.pdf
Pygmy Date Palm,Phoenix roebelenii,images/plants_week_4_p3_1.png,images/plants_week_4_p3_2.png,Plants week 4,Plants week 4.pdf
Lady Palm,Rhapis excelsa,images/plants_week_4_p4_1.png,images/plants_week_4_p4_2.png,Plants week 4,Plants week 4.pdf
Cuban Royal Palm,Roystonea regia,images/plants_week_4_p5_1.png,images/plants_week_4_p5_2.png,Plants week 4,Plants week 4.pdf
Manila Palm,Adonidia merrillii,images/plants_week_4_p6_1.png,images/plants_week_4_p6_2.png,Plants week 4,Plants week 4.pdf
Areca palm,Dypsis lutescens,images/plants_week_4_p7_1.png,images/plants_week_4_p7_2.png,Plants week 4,Plants week 4.pdf
Bottle Palm,Hyophorbe lagenicaulis,images/plants_week_4_p8_1.png,images/plants_week_4_p8_2.png,Plants week 4,Plants week 4.pdf
Loulu Lelo,Pritchardia hillebrandii,images/plants_week_4_p9_1.png,images/plants_week_4_p9_2.png,Plants week 4,Plants week 4.pdf
King Sago,Cycas revoluta,images/plants_week_4_p10_1.png,images/plants_week_4_p10_2.png,Plants week 4,Plants week 4.pdf
